timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-01-06,103.0,114.39,101.81,113.06,113.06,220911051,0.0000,1.0
2023-01-05,110.51,111.75,107.1601,110.34,110.34,157986324,0.0000,1.0
2023-01-04,109.11,114.59,107.52,113.64,113.64,180388976,0.0000,1.0
2023-01-03,118.47,118.8,104.64,108.1,108.1,231402818,0.0000,1.0
2022-12-30,119.95,124.48,119.75,123.18,123.18,157777339,0.0000,1.0
2022-12-29,120.385,123.57,117.495,121.82,121.82,221923313,0.0000,1.0
2022-12-28,110.35,116.27,108.24,112.71,112.71,221070537,0.0000,1.0
2022-12-27,117.495,119.67,108.76,109.1,109.1,208643444,0.0000,1.0
2022-12-23,126.37,128.6173,121.02,123.15,123.15,166989688,0.0000,1.0
2022-12-22,136.0,136.63,122.26,125.35,125.35,210090250,0.0000,1.0
2022-12-21,139.335,141.26,135.89,137.57,137.57,145417412,0.0000,1.0
2022-12-20,146.05,148.47,137.66,137.8,137.8,159563267,0.0000,1.0
2022-12-19,154.0,155.25,145.82,149.87,149.87,139390634,0.0000,1.0
2022-12-16,159.635,160.99,150.04,150.23,150.23,139032175,0.0000,1.0
2022-12-15,153.44,160.9299,153.28,157.67,157.67,122334459,0.0000,1.0
2022-12-14,159.25,161.62,155.31,156.8,156.8,140682338,0.0000,1.0
2022-12-13,174.87,175.05,156.91,160.95,160.95,175862722,0.0000,1.0
2022-12-12,176.1,177.37,167.52,167.82,167.82,109794471,0.0000,1.0
2022-12-09,173.84,182.5,173.36,179.05,179.05,104872336,0.0000,1.0
2022-12-08,172.2,175.2,169.06,173.44,173.44,97624491,0.0000,1.0
2022-12-07,175.03,179.38,172.218,174.04,174.04,84213284,0.0000,1.0
2022-12-06,181.215,183.65,175.33,179.82,179.82,92150823,0.0000,1.0
2022-12-05,189.44,191.27,180.55,182.45,182.45,93122667,0.0000,1.0
2022-12-02,191.78,196.25,191.11,194.86,194.86,73645922,0.0000,1.0
2022-12-01,197.08,198.92,191.8,194.7,194.7,80046213,0.0000,1.0
2022-11-30,182.43,194.76,180.6301,194.7,194.7,109186404,0.0000,1.0
2022-11-29,184.99,186.38,178.75,180.83,180.83,83357111,0.0000,1.0
2022-11-28,179.96,188.5,179.0,182.92,182.92,93038148,0.0000,1.0
2022-11-25,185.06,185.2,180.63,182.86,182.86,50672739,0.0000,1.0
2022-11-23,173.57,183.62,172.5,183.2,183.2,109536709,0.0000,1.0
2022-11-22,168.63,170.92,166.185,169.91,169.91,78452327,0.0000,1.0
2022-11-21,175.85,176.77,167.54,167.87,167.87,92882712,0.0000,1.0
2022-11-18,185.05,185.19,176.55,180.19,180.19,76048866,0.0000,1.0
2022-11-17,183.96,186.16,180.9,183.17,183.17,64335970,0.0000,1.0
2022-11-16,191.51,192.57,185.66,186.92,186.92,66567599,0.0000,1.0
2022-11-15,195.88,200.8237,192.06,194.42,194.42,91293785,0.0000,1.0
2022-11-14,192.77,195.73,186.34,190.95,190.95,92226649,0.0000,1.0
2022-11-11,186.0,196.52,182.59,195.97,195.97,114403575,0.0000,1.0
